S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
286,P13,Gmelina arborea,35.6,28.2,7.4,0.0623,0.425,139.039,0.529,73.552
287,P13,Daniella olivera,28.8,25.8,6.8,0.0522,0.533,134.477,0.529,71.139
288,P13,Daniella olivera,19.1,15.8,5.2,0.0195,0.533,39.577,0.529,20.936
289,P13,Vitex doniana,33.1,27.4,6.9,0.0588,0.400,115.861,0.529,61.290
290,P13,Gmelina arborea,28.6,21.0,7.3,0.0347,0.425,77.390,0.529,40.940
291,P13,Vitex doniana,22.3,19.1,6.8,0.0286,0.400,56.566,0.529,29.924
292,P13,Daniella olivera,18.5,15.0,6.3,0.0176,0.533,43.137,0.529,22.819
293,P13,Gmelina arborea,27.7,18.8,5.6,0.0277,0.425,48.003,0.529,25.394
294,P13,Gmelina arborea,29.6,25.1,5.3,0.0497,0.425,80.426,0.529,42.545
295,P13,Gmelina arborea,28.6,25.5,7.4,0.0509,0.425,114.166,0.529,60.394
296,P13,Vitex doniana,18.8,17.5,6.3,0.0241,0.400,44.302,0.529,23.436
297,P13,Gmelina arborea,22.9,18.1,6.9,0.0258,0.425,55.020,0.529,29.105
298,P13,Gmelina arborea,40.1,32.8,5.3,0.0844,0.425,134.985,0.529,71.407
299,P13,Saccoscphalus latifolia,34.1,26.4,5.6,0.0548,0.6,130.983,0.529,69.290
300,P13,Vitex doniana,23.9,20.1,5.4,0.0316,0.400,49.683,0.529,26.282
301,P13,Daniella olivera,26.1,20.1,6.3,0.0316,0.533,76.424,0.529,40.428
302,P13,Daniella olivera,17.2,12.4,5.2,0.0121,0.533,24.851,0.529,13.146
303,P13,Saccoscphalus latifolia,27.4,22.0,5.1,0.0379,0.6,83.362,0.529,44.098
304,P13,Daniella olivera,16.2,14.0,5.2,0.0154,0.533,31.448,0.529,16.636
305,P13,Daniella olivera,28.6,21.6,6.1,0.0368,0.533,85.960,0.529,45.473
306,P13,Daniella olivera,20.4,16.2,5.2,0.0207,0.533,41.952,0.529,22.193
307,P13,Vitex doniana,15.6,12.1,5.1,0.0115,0.400,17.515,0.529,9.265
308,P13,Daniella olivera,32.8,27.1,6.9,0.0575,0.533,149.865,0.529,79.279
309,P13,Gmelina arborea,32.8,26.1,5.3,0.0535,0.425,86.495,0.529,45.756
310,P14,Gmelina arborea,22.0,17.8,4.3,0.0249,0.425,33.501,0.529,17.722
311,P14,Khaya senegalensis,36.3,32.3,6.7,0.0820,0.648,249.099,0.529,131.774
312,P14,Gmelina arborea,29.9,24.5,6.1,0.0472,0.425,87.750,0.529,46.420
313,P14,Gmelina arborea,29.6,26.7,6.5,0.0561,0.425,110.645,0.529,58.531
314,P14,Gmelina arborea,30.2,21.6,6.3,0.0368,0.425,71.047,0.529,37.584
315,P14,Gmelina arborea,21.5,20.7,6.2,0.0336,0.425,64.049,0.529,33.882
316,P14,Daniella olivera,30.2,25.1,6.1,0.0497,0.533,115.188,0.529,60.935
317,P14,Afzelia africana,31.2,27.7,7.4,0.0602,0.680,213.023,0.529,112.689
318,P14,Daniella olivera,23.6,20.4,6.8,0.0326,0.533,84.908,0.529,44.916
319,P14,Daniella olivera,26.4,23.4,6.2,0.0430,0.533,101.654,0.529,53.775
320,P14,Daniella olivera,21.3,17.2,6.1,0.0232,0.533,54.812,0.529,28.995
321,P14,Gmelina arborea,26.1,24.5,7.4,0.0472,0.425,105.958,0.529,56.052
322,P14,Anthocleista djalonensis,26.9,18.9,6.6,0.0282,0.523,70.233,0.529,37.153
323,P14,Gmelina arborea,24.2,20.5,7.4,0.0331,0.425,74.983,0.529,39.666
324,P14,Gmelina arborea,25.8,21.5,6.3,0.0362,0.425,70.031,0.529,37.047
325,P14,Gmelina arborea,19.7,16.4,6.1,0.0211,0.425,40.019,0.529,21.170
326,P14,Gmelina arborea,22.9,19.9,6.5,0.0311,0.425,62.129,0.529,32.866
327,P14,Gmelina arborea,20.1,17.7,6.3,0.0245,0.425,47.792,0.529,25.282
328,P14,Gmelina arborea,19.4,15.6,5.6,0.0191,0.425,33.406,0.529,17.672
329,P14,Gmelina arborea,31.2,16.2,5.4,0.0207,0.425,34.860,0.529,18.441
330,P14,Gmelina arborea,31.2,15.9,5.3,0.0199,0.425,32.932,0.529,17.421
331,P14,Daniella olivera,22.9,17.5,5.3,0.0241,0.533,49.527,0.529,26.200
332,P14,Gmelina arborea,18.8,13.2,5.2,0.0137,0.425,22.469,0.529,11.886
333,P14,Daniella olivera,20.1,17.3,6.1,0.0236,0.533,55.807,0.529,29.522
334,P14,Daniella olivera,16.9,13.0,5.4,0.0134,0.533,28.427,0.529,15.038
335,P14,Gmelina arborea,19.4,16.3,6.4,0.0209,0.425,41.621,0.529,22.018
