"","residuals(model_power)"
"303",-1.09098027623332
"304",-0.220089447015559
"305",0.0799105529844422
"306",-0.153328546086665
"307",-0.290980276233317
"308",-0.388449054084334
"309",-0.788445278900729
"310",0.246671453913335
"311",-0.0655792527755938
"312",0.0370736368113693
"313",-0.703235505902224
"314",0.346671453913335
"315",-0.890951664832166
"316",-0.0532654180774577
"317",0.896764494097776
"318",0.792806062991096
"319",0.0479390404245077
"320",0.296764494097776
"321",-0.62250496726437
"322",1.11391717621801
"323",0.134652943953068
"324",0.400963310474411
"325",0.946671453913336
"326",1.00901972376668
"327",-0.220089447015559
"328",0.626889726026983
"329",0.666333320869845
"330",-0.106832520847897
"331",0.825056519470221
"332",-0.0629263631886303
"333",-0.373505205066376
"334",0.238345142273364
"335",-1.17958582519105
"336",-0.413007537517899
"337",0.0547067507984016
"338",0.0347461049615125
"339",0.867649058904937
"340",-0.333666679130155
"341",-0.120089447015558
"342",0.361997819819077
"343",-0.87958582519105
"344",0.00901972376668336
"345",1.03170582555109
"346",0.552911539977426
"347",1.06322161914591
"348",0.252911539977426
"349",0.409019723766683
"350",0.226494794933624
"351",0.096807086054441
"352",1.13393389280672
"353",0.763221619145913
"354",0.592806062991096
"355",0.463221619145913
"356",0.661997819819077
"357",0.796764494097776
"358",0.463221619145913
"359",-0.268294174448908
"360",-0.290980276233317
"361",-0.298747298566949
"362",0.174826205945651
"363",-0.89874729856695
"364",1.00901972376668
"365",0.779910552984441
"366",-0.820011101606914
"367",-0.968294174448908
"368",0.122878201841374
"369",-1.00319291394556
"370",0.546734581922543
"371",-1.29345639934022
"372",0.479198699403864
"373",0.726494794933624
"374",-0.672132874767825
"375",-0.566066107193281
"376",0.122878201841374
"377",0.69161440480655
"378",0.453854072811522
"379",-0.438746729207239
"380",-0.946145927188478
"381",0.422878201841375
"382",-0.106832520847897
"383",-0.288445278900729
"384",-0.206832520847897
"385",0.113917176218009
"386",-0.186082823781992
"387",-0.0367783808540869
"388",0.834420747224407
"389",-0.127424662928708
"390",0.721671984048352
"391",0.506543600659779
"392",-0.0200894470155584
"393",-0.553265418077458
"394",1.00904833516783
"395",0.792806062991096
"396",0.792806062991096
"397",-0.827832169114066
"398",0.00904833516783476
"399",-0.368294174448907
"400",0.721671984048352
"401",0.277173241552857
"402",0.211550945915667
"403",0.961997819819078
"404",0.548566383826972
"405",-0.0200894470155584
"406",0.763221619145913
"407",-0.373505205066376
"408",-0.132350941095063
"409",-0.253265418077458
"410",0.678919398416099
"411",-0.658520382686395
"412",-0.203235505902224
"413",0.445431029741476
"414",-0.68447932444696
"415",0.506543600659779
"416",-0.245563396365347
"417",-0.388449054084334
"418",-0.245563396365347
"419",-0.37958582519105
"420",-0.321080601583901
"421",-0.479585825191051
"422",0.549888428517175
"423",0.493035852503091
"424",-0.473110273973017
"425",0.504236526405858
"426",-1.3210806015839
"427",-1.05332854608666
"428",-0.68699758340126
"429",0.0789193984160983
"430",0.526889726026983
"431",-0.38699758340126
"432",-1.43235094109506
"433",-0.797685871075346
"434",-0.473110273973017
"435",0.493035852503091
"436",0.766333320869845
"437",-0.593456399340221
"438",-0.406832520847897
"439",-0.178328015951648
"440",-1.32008944701556
"441",-0.520011101606914
"442",-0.0749434805297797
"443",-0.220089447015559
"444",-0.0274246629287074
"445",0.333933892806719
"446",-0.809313341086138
"447",-0.302234311016
"448",-0.120089447015558
"449",0.434420747224406
"450",0.946671453913336
"451",0.377173241552858
"452",0.378919398416098
"453",-0.0533285460866644
"454",-0.252060959575492
"455",0.629207977381371
"456",0.996764494097776
"457",1.04667145391334
"458",0.00901972376668336
"459",0.721671984048352
"460",0.393035852503091
"461",0.378412469137744
"462",-0.0909802762333172
"463",-1.27832801595165
"464",-0.203235505902224
"465",-0.658520382686395
"466",0.249888428517174
"467",-0.236778380854087
"468",-0.358520382686394
"469",0.493035852503091
"470",0.493035852503091
"471",0.226889726026982
"472",-0.450111571482825
