PLOT ID,SPECIES,DB,DBH,THT,BA,AGBKg,T/ha,AGB/hakg,AGB/haTn
P5,Gmelina arborea,31.5,25.9,7.2,0.0528,115.258,0.529,60.971,0.061
P5,Gmelina arborea,23.6,21,6.5,0.0347,69.102,0.529,36.555,0.037
P5,Gmelina arborea,25.3,22,6.2,0.0379,71.968,0.529,38.071,0.038
P5,Khaya senegalensis,34.1,29.3,5.6,0.0673,172.603,0.529,91.307,0.091
P5,Vitex doniana,30.6,24.8,7.4,0.0484,102.522,0.529,54.234,0.054
P5,Anthocleista djalonensis,35,25.5,7,0.0509,132.574,0.529,70.131,0.07
P6,Gmelina arborea,25.8,25.1,6.7,0.0497,101.1,0.529,53.482,0.053
P6,Daniella olivera,23.9,17.2,6.8,0.0232,60.942,0.529,32.239,0.032
P6,Khaya senegalensis,43.6,31.3,7.4,0.0772,258.857,0.529,136.935,0.137
P6,Daniella olivera,22.9,18.5,6.8,0.0268,70.065,0.529,37.064,0.037
P6,Magifera indica,61.7,51.6,7.4,0.2088,551.609,0.529,291.801,0.292
P6,Gmelina arborea,22.6,19.1,7.4,0.0286,65.111,0.529,34.444,0.034
P6,Gmelina arborea,27.7,19.7,7.6,0.0306,71.245,0.529,37.689,0.038
P6,Gmelina arborea,24,20.4,6.8,0.0326,68.003,0.529,35.973,0.036
P6,Gmelina arborea,24.3,19.4,7.4,0.0296,67.246,0.529,35.573,0.036
P6,Gmelina arborea,38.2,29.6,7.4,0.0688,153.173,0.529,81.029,0.081
P6,Afzelia africana,38.8,22.3,6.3,0.039,119.098,0.529,63.003,0.063
P6,Afzelia africana,38.8,24.5,6.5,0.0472,147.893,0.529,78.236,0.078
P6,Gmelina arborea,25.1,21.5,7.4,0.0362,81.942,0.529,43.347,0.043
P6,Gmelina arborea,23.9,18.8,7.3,0.0277,62.179,0.529,32.892,0.033
P6,Daniella olivera,18.5,15.9,5.8,0.0199,44.901,0.529,23.752,0.024
P6,Gmelina arborea,21.6,18.5,7.4,0.0268,60.942,0.529,32.238,0.032
P6,Afzelia africana,22.3,19.4,5,0.0296,72.656,0.529,38.435,0.038
P6,Afzelia africana,60.2,32.8,7.1,0.0844,284.448,0.529,150.473,0.15
P6,Afzelia africana,60.2,17,6.9,0.0228,77.016,0.529,40.741,0.041
P6,Afzelia africana,60.2,20.1,7.1,0.0316,108.957,0.529,57.638,0.058
P6,Gmelina arborea,20.1,17.8,6.2,0.0249,47.882,0.529,25.33,0.025
P6,Gmelina arborea,22.3,19.1,7.1,0.0286,62.534,0.529,33.08,0.033
P6,Gmelina arborea,21.3,18.8,7.2,0.0277,61.347,0.529,32.453,0.032
P6,Gmelina arborea,22,20.1,7.3,0.0316,70.672,0.529,37.386,0.037
P6,Gmelina arborea,20.4,18.5,7,0.0268,57.725,0.529,30.536,0.031
P6,Gmelina arborea,22,19.7,7.4,0.0306,69.415,0.529,36.721,0.037
P6,Gmelina arborea,27.7,23.9,7.2,0.0448,97.997,0.529,51.84,0.052
P6,Gmelina arborea,25.1,22.4,6.8,0.0395,82.135,0.529,43.449,0.043
P6,Anthocleista djalonensis,29.6,24.2,7.4,0.046,126.627,0.529,66.986,0.067
P7,Gmelina arborea,32.8,26.4,6.1,0.0548,101.591,0.529,53.742,0.054
P7,Gmelina arborea,26.9,24.8,6.1,0.0484,89.988,0.529,47.604,0.048
P7,Gmelina arborea,28,26.4,6.5,0.0548,108.088,0.529,57.179,0.057
P7,Gmelina arborea,30.6,28.6,5.3,0.0644,103.731,0.529,54.874,0.055
P7,Gmelina arborea,29.3,25,5.4,0.049,80.898,0.529,42.795,0.043
P7,Gmelina arborea,28,22.9,6,0.0412,75.74,0.529,40.066,0.04
P7,Gmelina arborea,34.7,30.6,7.4,0.0733,162.966,0.529,86.209,0.086
P7,Gmelina arborea,31.8,24.2,7.1,0.046,99.2,0.529,52.477,0.052
P7,Gmelina arborea,34.7,30.2,7.4,0.0718,159.669,0.529,84.465,0.084
P7,Gmelina arborea,36,30.9,7.5,0.0749,168.489,0.529,89.131,0.089
P7,Kashier,36,32.1,7,0.0812,238.888,0.529,126.372,0.126
P7,Gmelina arborea,29.9,29.3,6.4,0.0673,130.161,0.529,68.855,0.069
P7,Ptericarpus erinaceous,23.6,23.6,7.4,0.0436,168.659,0.529,89.221,0.089
P7,Gmelina arborea,32.5,26.7,7.2,0.0561,122.26,0.529,64.676,0.065
P7,Gmelina arborea,33.1,27.2,7.4,0.0582,129.988,0.529,68.764,0.069
P7,Gmelina arborea,39.5,35,7.6,0.0963,218.176,0.529,115.415,0.115
P7,Gmelina arborea,29,25.3,7.2,0.0503,109.801,0.529,58.085,0.058
P7,Gmelina arborea,28.8,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
