PLOT ID,SPECIES,DB,DBH,THT,BA,AGBKg,T/ha,AGB/hakg,AGB/haTn
P14,Gmelina arborea,30.2,21.6,6.3,0.0368,71.047,0.529,37.584,0.038
P14,Gmelina arborea,21.5,20.7,6.2,0.0336,64.049,0.529,33.882,0.034
P14,Daniella olivera,30.2,25.1,6.1,0.0497,115.188,0.529,60.935,0.061
P14,Afzelia africana,31.2,27.7,7.4,0.0602,213.023,0.529,112.689,0.113
P14,Daniella olivera,23.6,20.4,6.8,0.0326,84.908,0.529,44.916,0.045
P14,Daniella olivera,26.4,23.4,6.2,0.043,101.654,0.529,53.775,0.054
P14,Daniella olivera,21.3,17.2,6.1,0.0232,54.812,0.529,28.995,0.029
P14,Gmelina arborea,26.1,24.5,7.4,0.0472,105.958,0.529,56.052,0.056
P14,Anthocleista djalonensis,26.9,18.9,6.6,0.0282,70.233,0.529,37.153,0.037
P14,Gmelina arborea,24.2,20.5,7.4,0.0331,74.983,0.529,39.666,0.04
P14,Gmelina arborea,25.8,21.5,6.3,0.0362,70.031,0.529,37.047,0.037
P14,Gmelina arborea,19.7,16.4,6.1,0.0211,40.019,0.529,21.17,0.021
P14,Gmelina arborea,22.9,19.9,6.5,0.0311,62.129,0.529,32.866,0.033
P14,Gmelina arborea,20.1,17.7,6.3,0.0245,47.792,0.529,25.282,0.025
P14,Gmelina arborea,19.4,15.6,5.6,0.0191,33.406,0.529,17.672,0.018
P14,Gmelina arborea,31.2,16.2,5.4,0.0207,34.86,0.529,18.441,0.018
P14,Gmelina arborea,31.2,15.9,5.3,0.0199,32.932,0.529,17.421,0.017
P14,Daniella olivera,22.9,17.5,5.3,0.0241,49.527,0.529,26.2,0.026
P14,Gmelina arborea,18.8,13.2,5.2,0.0137,22.469,0.529,11.886,0.012
P14,Daniella olivera,20.1,17.3,6.1,0.0236,55.807,0.529,29.522,0.03
P14,Daniella olivera,16.9,13,5.4,0.0134,28.427,0.529,15.038,0.015
P14,Gmelina arborea,19.4,16.3,6.4,0.0209,41.621,0.529,22.018,0.022
P14,Gmelina arborea,24.5,17.7,6.1,0.0245,46.31,0.529,24.498,0.024
P14,Daniella olivera,21.6,13.7,6.1,0.0147,35.137,0.529,18.588,0.019
P14,Gmelina arborea,20.1,15.3,5.2,0.0183,29.849,0.529,15.79,0.016
P14,Ficus sur,15.9,14.3,6.3,0.0161,29.944,0.529,15.84,0.016
P14,Gmelina arborea,23.6,18.5,6.4,0.0268,52.89,0.529,27.979,0.028
P14,Iannea schimperiana,20.4,17.3,7.1,0.0236,72.647,0.529,38.43,0.038
P14,Daniella olivera,18.8,15,6.2,0.0176,42.469,0.529,22.466,0.022
P14,Daniella olivera,21.3,17.5,6.4,0.0241,59.536,0.529,31.494,0.031
P14,Daniella olivera,24.2,15.6,6.1,0.0191,45.342,0.529,23.986,0.024
P14,Gmelina arborea,21,17.3,7.1,0.0236,51.833,0.529,27.42,0.027
P14,Gmelina arborea,25.1,18.5,7.4,0.0268,60.942,0.529,32.238,0.032
P14,Daniella olivera,21.6,16.5,6.3,0.0215,52.548,0.529,27.798,0.028
P14,Gmelina arborea,31.2,26.4,7.1,0.0548,117.816,0.529,62.324,0.062
P14,Anthocleista djalonensis,37.9,25.8,7.4,0.0522,143.398,0.529,75.857,0.076
P14,Gmelina arborea,30.7,22.9,7.3,0.0412,91.717,0.529,48.518,0.049
P14,Daniella olivera,15.9,12.7,5.3,0.0127,26.599,0.529,14.071,0.014
P14,Gmelina arborea,22.3,17.8,6.1,0.0249,47.128,0.529,24.931,0.025
P14,Gmelina arborea,20.4,16.2,5.4,0.0207,34.86,0.529,18.441,0.018
P14,Daniella olivera,21.6,18.1,5.3,0.0258,53.103,0.529,28.091,0.028
P15,Gmelina arborea,25.8,21.6,7.4,0.0368,83.131,0.529,43.976,0.044
P15,Anthocleista djalonensis,24.8,16.2,6.1,0.0207,48.136,0.529,25.464,0.025
P15,Gmelina arborea,22.6,18.8,6.2,0.0277,53.017,0.529,28.046,0.028
P15,Gmelina arborea,34.1,27.7,6.8,0.0602,123.824,0.529,65.503,0.066
P15,Gmelina arborea,25.8,21,6.7,0.0347,71.176,0.529,37.652,0.038
P15,Gmelina arborea,21,17.2,6.1,0.0232,43.898,0.529,23.222,0.023
P15,Gmelina arborea,26.1,22.3,7.1,0.039,84.488,0.529,44.694,0.045
P15,Gmelina arborea,33.4,25.1,7.4,0.0497,111.397,0.529,58.929,0.059
P15,Gmelina arborea,20.8,17.2,7.1,0.0232,50.909,0.529,26.931,0.027
P15,Gmelina arborea,28.3,23.2,7.2,0.0424,92.96,0.529,49.176,0.049
P15,Gmelina arborea,27.7,21.3,6.8,0.0357,74.364,0.529,39.338,0.039
P15,Daniella olivera,19.1,15,5.7,0.0176,39.123,0.529,20.696,0.021
P15,Gmelina arborea,21.3,18.1,7.3,0.0258,58.131,0.529,30.751,0.031
P15,Gmelina arborea,20.1,15.4,6.3,0.0187,36.733,0.529,19.432,0.019
P15,Gmelina arborea,29.9,24.5,6.8,0.0472,97.565,0.529,51.612,0.052
P15,Gmelina arborea,21,16.9,6.2,0.0223,43.003,0.529,22.748,0.023
P15,Gmelina arborea,22.6,20.4,6.1,0.0326,61.162,0.529,32.355,0.032
P15,Gmelina arborea,20.1,15.6,6.3,0.0191,37.476,0.529,19.825,0.02
P15,Gmelina arborea,22.6,16.9,6.1,0.0223,42.326,0.529,22.39,0.022
P15,Gmelina arborea,16.9,15.6,6.3,0.0191,37.476,0.529,19.825,0.02
P15,Gmelina arborea,19.1,15.3,5.2,0.0183,29.849,0.529,15.79,0.016
P15,Gmelina arborea,21,17.2,5.3,0.0232,38.27,0.529,20.245,0.02
P15,Gmelina arborea,21.6,17.5,5.4,0.0241,40.396,0.529,21.37,0.021
P15,Gmelina arborea,17.8,14.3,5.2,0.0161,26.316,0.529,13.921,0.014
P15,Gmelina arborea,25.8,20.4,5.3,0.0326,53.32,0.529,28.206,0.028
P15,Gmelina arborea,34.4,19.1,6.1,0.0286,53.922,0.529,28.525,0.029
P15,Gmelina arborea,34.4,19.1,6.4,0.0286,56.509,0.529,29.893,0.03
P15,Ptericarpus erinaceous,24.8,16.9,7.3,0.0223,86.754,0.529,45.893,0.046
P15,Gmelina arborea,26.7,21.6,6.3,0.0368,71.047,0.529,37.584,0.038
P15,Gmelina arborea,24.8,20.4,6.1,0.0326,61.162,0.529,32.355,0.032
P15,Gmelina arborea,26.7,22.3,6.1,0.039,72.853,0.529,38.539,0.039
P15,Gmelina arborea,19.1,15.3,5.3,0.0183,30.41,0.529,16.087,0.016
P15,Ptericarpus erinaceous,20.7,17.5,6.1,0.0241,78.265,0.529,41.402,0.041
P15,Gmelina arborea,26.4,21.6,6.7,0.0368,75.447,0.529,39.911,0.04
P15,Gmelina arborea,25.5,23.9,6.5,0.0448,88.686,0.529,46.915,0.047
P15,Gmelina arborea,22,18.1,6.3,0.0258,50.345,0.529,26.633,0.027
P15,Anthocleista djalonensis,28.6,22.6,5.8,0.0401,87.412,0.529,46.241,0.046
P15,Ptericarpus erinaceous,33.7,29.6,7.4,0.0688,263.481,0.529,139.381,0.139
P15,Gmelina arborea,23.1,21.6,6.8,0.0368,76.546,0.529,40.493,0.04
P15,Ptericarpus erinaceous,19.1,16.9,5.3,0.0223,63.472,0.529,33.576,0.034
P15,Anthocleista djalonensis,30.6,19.7,6.3,0.0306,72.73,0.529,38.474,0.038
P16,Gmelina arborea,32.8,22.6,7.4,0.0401,90.44,0.529,47.843,0.048
P16,Gmelina arborea,24.2,19.1,7.1,0.0286,62.534,0.529,33.08,0.033
P16,Gmelina arborea,35,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
P16,Gmelina arborea,32.8,25.8,6.7,0.0522,106.156,0.529,56.157,0.056
P16,Gmelina arborea,27.1,22.6,6.8,0.0401,83.276,0.529,44.053,0.044
P16,Gmelina arborea,24.2,21,5.8,0.0347,61.829,0.529,32.707,0.033
P16,Gmelina arborea,28.6,23.9,6.3,0.0448,86.022,0.529,45.506,0.046
P16,Khaya senegalensis,25.1,18.5,7.4,0.0268,92.063,0.529,48.701,0.049
P16,Khaya senegalensis,38.2,33.7,7.1,0.0894,286.898,0.529,151.769,0.152
P16,Gmelina arborea,37.2,29.3,7.2,0.0673,146.017,0.529,77.243,0.077
P16,Gmelina arborea,25.5,21.6,7.4,0.0368,83.131,0.529,43.976,0.044
P16,Gmelina arborea,26.4,21,7.2,0.0347,76.356,0.529,40.392,0.04
P16,Gmelina arborea,25.5,20.4,7.4,0.0326,73.853,0.529,39.068,0.039
P16,Gmelina arborea,24.2,19.1,6.1,0.0286,53.922,0.529,28.525,0.029
P16,Gmelina arborea,40.1,31.2,7.5,0.0764,171.897,0.529,90.933,0.091
P16,Gmelina arborea,35.3,27.7,7.4,0.0602,134.476,0.529,71.138,0.071
P16,Gmelina arborea,37.6,22,7.1,0.0379,82.148,0.529,43.456,0.043
P16,Gmelina arborea,37.6,20.7,6.3,0.0336,65.058,0.529,34.415,0.034
P16,Gmelina arborea,23.2,20.1,7.2,0.0316,69.727,0.529,36.886,0.037
P16,Gmelina arborea,29.6,18.1,6.2,0.0258,49.565,0.529,26.22,0.026
P16,Gmelina arborea,25.1,22,6.1,0.0379,70.835,0.529,37.472,0.037
P16,Gmelina arborea,29.6,24.2,7.3,0.046,101.926,0.529,53.919,0.054
P16,Gmelina arborea,36.1,30.9,7.1,0.0749,159.713,0.529,84.488,0.084
P16,Gmelina arborea,28.6,24.2,5.4,0.046,75.945,0.529,40.175,0.04
P16,Gmelina arborea,27.1,22.8,6.1,0.0407,75.931,0.529,40.168,0.04
P16,Gmelina arborea,26.9,17.8,6.3,0.0249,48.636,0.529,25.728,0.026
P16,Gmelina arborea,29,21,6.4,0.0347,68.064,0.529,36.006,0.036
P16,Daniella olivera,35,26.1,6.7,0.0535,135.76,0.529,71.817,0.072
P16,Gmelina arborea,26.1,23.2,7.4,0.0424,95.48,0.529,50.509,0.051
P16,Gmelina arborea,31.5,27.7,6.4,0.0602,116.71,0.529,61.74,0.062
P16,Gmelina arborea,22.9,19.1,6.2,0.0286,54.785,0.529,28.981,0.029
P16,Gmelina arborea,33.1,29.6,7.1,0.0688,147.11,0.529,77.821,0.078
P16,Gmelina arborea,23.6,21.3,6.8,0.0357,74.364,0.529,39.338,0.039
P16,Daniella olivera,30.6,24.2,5.7,0.046,99.963,0.529,52.881,0.053
P17,Vitex doniana,23.2,20.4,6.4,0.0326,60.475,0.529,31.991,0.032
P17,Daniella olivera,18.8,15,7.1,0.0176,48.475,0.529,25.643,0.026
P17,Gmelina arborea,27.4,24.5,6.8,0.0472,97.565,0.529,51.612,0.052
P17,Gmelina arborea,27.4,16.2,6.7,0.0207,43.029,0.529,22.762,0.023
P17,Gmelina arborea,40.7,19.4,7.4,0.0296,67.246,0.529,35.573,0.036
P17,Gmelina arborea,23.9,16.2,6.4,0.0207,41.147,0.529,21.767,0.022
P17,Gmelina arborea,23.6,20.4,6.8,0.0326,68.003,0.529,35.973,0.036
P17,Gmelina arborea,21.6,18.5,7.2,0.0268,59.334,0.529,31.388,0.031
P17,Gmelina arborea,28.6,22,6.7,0.0379,77.628,0.529,41.065,0.041
P17,Gmelina arborea,27.4,18.8,6.4,0.0277,54.685,0.529,28.928,0.029
P17,Gmelina arborea,40.7,16.5,7.3,0.0215,48.593,0.529,25.706,0.026
P17,Gmelina arborea,29.6,19.4,7.1,0.0296,64.584,0.529,34.165,0.034
P17,Khaya senegalensis,23.6,15,6.1,0.0176,50.573,0.529,26.753,0.027
P17,Khaya senegalensis,29.3,24.8,7.2,0.0484,159.819,0.529,84.544,0.085
P17,Gmelina arborea,22.6,19.4,6.8,0.0296,61.919,0.529,32.755,0.033
P17,Gmelina arborea,25.1,21.3,7.1,0.0357,77.564,0.529,41.031,0.041
P17,Gmelina arborea,26.1,22.6,7.3,0.0401,89.247,0.529,47.212,0.047
P17,Gmelina arborea,19.7,16.5,6.4,0.0215,42.737,0.529,22.608,0.023
P17,Gmelina arborea,23.2,19.4,6.8,0.0296,61.919,0.529,32.755,0.033
P17,Gmelina arborea,16.9,15,5.8,0.0176,31.869,0.529,16.859,0.017
P17,Gmelina arborea,24.2,20.4,6.1,0.0326,61.162,0.529,32.355,0.032
P17,Daniella olivera,15.9,14,5.7,0.0154,34.396,0.529,18.196,0.018
P17,Gmelina arborea,29.3,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
P17,Gmelina arborea,15.3,13,6.1,0.0134,25.643,0.529,13.565,0.014
P17,Daniella olivera,17.8,14,5.1,0.0154,30.858,0.529,16.324,0.016
P17,Gmelina arborea,28,20.4,7.4,0.0326,73.853,0.529,39.068,0.039
P17,Gmelina arborea,22.3,19.1,7.1,0.0286,62.534,0.529,33.08,0.033
P17,Gmelina arborea,22.6,18.8,6.1,0.0277,52.182,0.529,27.604,0.028
P17,Gmelina arborea,18.1,14.3,5.2,0.0161,26.316,0.529,13.921,0.014
P17,Gmelina arborea,18.8,15,5.1,0.0176,28.11,0.529,14.87,0.015
P17,Gmelina arborea,15.6,13.7,6.1,0.0147,28.141,0.529,14.887,0.015
P17,Gmelina arborea,22.9,18.8,5.3,0.0277,45.492,0.529,24.065,0.024
P17,Gmelina arborea,21.6,17.5,6.3,0.0241,46.955,0.529,24.839,0.025
P17,Gmelina arborea,25.1,19.7,6.9,0.0306,64.834,0.529,34.297,0.034
P17,Gmelina arborea,29.3,24.5,5.3,0.0472,76.499,0.529,40.468,0.04
P17,Gmelina arborea,28.3,25.1,7.1,0.0497,106.987,0.529,56.596,0.057
P17,Gmelina arborea,28,22,7.2,0.0379,83.277,0.529,44.053,0.044
P17,Gmelina arborea,16.9,14.3,5.4,0.0161,27.304,0.529,14.444,0.014
P17,Gmelina arborea,12.7,11.1,5.1,0.0097,15.81,0.529,8.364,0.008
P17,Gmelina arborea,19.7,16.5,5.6,0.0215,37.515,0.529,19.845,0.02
P17,Gmelina arborea,15.9,13.7,6.1,0.0147,28.141,0.529,14.887,0.015
P17,Gmelina arborea,30.9,27.1,7.4,0.0575,128.508,0.529,67.981,0.068
P18,Parkia biglobosa,38.2,31.8,7.4,0.0796,217.212,0.529,114.905,0.115
P18,Gmelina arborea,30.6,28,7.2,0.0616,133.882,0.529,70.823,0.071
P18,Iannea schimperiana,30.9,25.5,6.2,0.0509,134.633,0.529,71.221,0.071
P18,Gmelina arborea,36.9,28,5.8,0.0616,108.41,0.529,57.349,0.057
P18,Gmelina arborea,24.2,13.7,6.4,0.0147,29.491,0.529,15.601,0.016
P18,Gmelina arborea,24.2,16.2,6.4,0.0207,41.147,0.529,21.767,0.022
P18,Gmelina arborea,28.6,20.7,6.3,0.0336,65.058,0.529,34.415,0.034
P18,Iannea schimperiana,20.4,15.3,5.8,0.0183,46.541,0.529,24.62,0.025
P18,Gmelina arborea,24.7,20.7,6.2,0.0336,64.049,0.529,33.882,0.034
P18,Gmelina arborea,23.2,18.5,6.4,0.0268,52.89,0.529,27.979,0.028
P18,Gmelina arborea,21.6,18.5,5.3,0.0268,43.999,0.529,23.275,0.023
P18,Gmelina arborea,29.6,18.5,6.1,0.0268,50.469,0.529,26.698,0.027
P18,Gmelina arborea,29.6,19.4,6.3,0.0296,57.472,0.529,30.403,0.03
P18,Gmelina arborea,31.5,23.9,7.4,0.0448,100.652,0.529,53.245,0.053
P18,Gmelina arborea,20.4,17.5,6.1,0.0241,45.499,0.529,24.069,0.024
P18,Anthocleista djalonensis,42,30.6,7.2,0.0733,194.518,0.529,102.9,0.103
P18,Gmelina arborea,32.1,26.4,7.4,0.0548,122.672,0.529,64.893,0.065
P18,Gmelina arborea,28.3,24.5,7.1,0.0472,101.764,0.529,53.833,0.054
P18,Daniella olivera,21.6,19.1,6.3,0.0286,69.481,0.529,36.755,0.037
P18,Gmelina arborea,23.6,19.7,5.8,0.0306,54.725,0.529,28.95,0.029
P18,Daniella olivera,23.2,18.5,7,0.0268,72.075,0.529,38.128,0.038
P18,Gmelina arborea,29.6,16.9,7.2,0.0223,49.76,0.529,26.323,0.026
P18,Gmelina arborea,31.8,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
P18,Gmelina arborea,47.7,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
P18,Gmelina arborea,22.3,15.9,5.3,0.0199,32.932,0.529,17.421,0.017
P18,Gmelina arborea,17.2,16.5,5.1,0.0215,34.242,0.529,18.114,0.018
P18,Gmelina arborea,18.3,16.9,6.2,0.0223,43.003,0.529,22.748,0.023
P18,Gmelina arborea,19.4,15,5.7,0.0176,31.333,0.529,16.575,0.017
P18,Gmelina arborea,31,26.4,7.4,0.0548,122.672,0.529,64.893,0.065
P18,Gmelina arborea,35.3,29.9,7.1,0.0703,150.213,0.529,79.463,0.079
P18,Gmelina arborea,36.3,19.1,6.4,0.0286,56.509,0.529,29.893,0.03
P18,Gmelina arborea,36.3,22.3,6.7,0.039,79.839,0.529,42.235,0.042
P18,Gmelina arborea,40.1,21.3,7.4,0.0357,80.761,0.529,42.723,0.043
P18,Gmelina arborea,40.1,23.6,7.1,0.0436,94.168,0.529,49.815,0.05
P18,Gmelina arborea,23.6,19.1,6.3,0.0286,55.647,0.529,29.437,0.029
P18,Gmelina arborea,32.1,22.6,7.4,0.0401,90.44,0.529,47.843,0.048
P18,Gmelina arborea,32.1,19.4,7.1,0.0296,64.584,0.529,34.165,0.034
P18,Gmelina arborea,26.7,22,6.1,0.0379,70.835,0.529,37.472,0.037
P18,Afzelia africana,28.3,23.2,6.4,0.0424,131.266,0.529,69.44,0.069
P18,Gmelina arborea,23.9,19.7,6.1,0.0306,57.486,0.529,30.41,0.03
P18,Gmelina arborea,25.5,17.8,6.4,0.0249,49.389,0.529,26.127,0.026
P18,Gmelina arborea,40.7,27.4,7.4,0.0588,131.476,0.529,69.551,0.07
P18,Gmelina arborea,35.3,28.3,6.1,0.063,116.419,0.529,61.586,0.062
P18,Gmelina arborea,26.7,22.6,6.3,0.0401,77.294,0.529,40.889,0.041
P19,Daniella olivera,38.5,33.4,7.4,0.0877,242.376,0.529,128.217,0.128
P19,Daniella olivera,32.8,28.3,6.4,0.063,152.335,0.529,80.585,0.081
P19,Anthocleista djalonensis,44.6,31.5,6.2,0.078,178.51,0.529,94.432,0.094
P19,Gmelina arborea,29,24.5,7.1,0.0472,101.764,0.529,53.833,0.054
P19,Gmelina arborea,59.2,36,6.8,0.1016,206.287,0.529,109.126,0.109
P19,Gmelina arborea,29,22.3,6.1,0.039,72.853,0.529,38.539,0.039
P19,Gmelina arborea,56.7,47.1,6.3,0.1743,324.221,0.529,171.513,0.172
P19,Gmelina arborea,53.5,36,6.8,0.1016,206.287,0.529,109.126,0.109
P19,Gmelina arborea,31.2,24.2,6.2,0.046,86.907,0.529,45.974,0.046
P19,Gmelina arborea,41.7,27.4,6.4,0.0588,114.106,0.529,60.362,0.06
P19,Gmelina arborea,32.1,24.2,6.1,0.046,85.539,0.529,45.25,0.045
P19,Gmelina arborea,32.1,25.8,6.3,0.0522,99.966,0.529,52.882,0.053
P19,Gmelina arborea,43.9,30.6,7.4,0.0733,162.966,0.529,86.209,0.086
P19,Gmelina arborea,48.7,32.1,7.4,0.0812,179.945,0.529,95.191,0.095
P19,Gmelina arborea,54.1,31.2,6.4,0.0764,147.245,0.529,77.892,0.078
P19,Gmelina arborea,53.5,31.8,7.4,0.0796,176.484,0.529,93.36,0.093
P19,Gmelina arborea,31.2,24.5,6.1,0.0472,87.75,0.529,46.42,0.046
P19,Gmelina arborea,56,27.4,5.4,0.0588,96.67,0.529,51.138,0.051
P19,Gmelina arborea,27.4,21.6,5.4,0.0368,61.123,0.529,32.334,0.032
P19,Gmelina arborea,33.1,29,6.1,0.0659,121.581,0.529,64.316,0.064
P19,Gmelina arborea,40.7,27.4,6.8,0.0588,121.061,0.529,64.041,0.064
P19,Gmelina arborea,31.2,23.2,6.1,0.0424,79.072,0.529,41.829,0.042
P19,Gmelina arborea,48.7,31.2,7.4,0.0764,169.659,0.529,89.75,0.09
P19,Gmelina arborea,32.1,29,6.4,0.0659,127.413,0.529,67.402,0.067
P19,Gmelina arborea,31.2,23.2,5.1,0.0424,66.394,0.529,35.122,0.035
P19,Gmelina arborea,56.7,40.7,6.4,0.1303,247.993,0.529,131.188,0.131
P19,Gmelina arborea,40.7,31.2,5.4,0.0764,124.745,0.529,65.99,0.066
P19,Gmelina arborea,35,31.2,6.4,0.0764,147.245,0.529,77.892,0.078
P19,Gmelina arborea,53.5,32.1,7.4,0.0812,179.945,0.529,95.191,0.095
P20,Gmelina arborea,33.1,27.7,7.5,0.0602,136.25,0.529,72.076,0.072
P20,Gmelina arborea,30.9,24.5,6,0.0472,86.346,0.529,45.677,0.046
P20,Gmelina arborea,21,15.9,5.5,0.0199,34.144,0.529,18.062,0.018
P20,Khaya senegalensis,22.3,20.7,6,0.0336,93.71,0.529,49.572,0.05
P20,Khaya senegalensis,32.8,26.4,6.5,0.0548,163.285,0.529,86.378,0.086
P20,Khaya senegalensis,23.9,19.1,5,0.0286,67.088,0.529,35.49,0.035
P20,Khaya senegalensis,17.5,14.3,5.5,0.0161,41.992,0.529,22.214,0.022
P20,Gmelina arborea,19.1,15.9,6.2,0.0199,38.379,0.529,20.303,0.02
P20,Gmelina arborea,23.2,20.1,6.3,0.0316,61.207,0.529,32.379,0.032
P20,Gmelina arborea,23.9,19.1,6.1,0.0286,53.922,0.529,28.525,0.029
P20,Gmelina arborea,22.3,17.5,6.2,0.0241,46.227,0.529,24.454,0.024
P20,Gmelina arborea,22.9,16.5,6.5,0.0215,43.389,0.529,22.953,0.023
P20,Gmelina arborea,23.2,20.1,6.4,0.0316,62.155,0.529,32.88,0.033
P20,Daniella olivera,20.4,17.2,5.4,0.0232,48.664,0.529,25.743,0.026
P20,Daniella olivera,17.2,12.7,5.6,0.0127,28.068,0.529,14.848,0.015
P20,Daniella olivera,20.7,19.1,6.2,0.0286,68.404,0.529,36.186,0.036
P20,Gmelina arborea,28.6,23.9,7,0.0448,95.339,0.529,50.434,0.05
P20,Gmelina arborea,27.7,24.5,6.5,0.0472,93.362,0.529,49.388,0.049
P21,Gmelina arborea,26.1,21.6,7.4,0.0368,83.131,0.529,43.976,0.044
P21,Ptericarpus erinaceous,32.1,29.9,7.2,0.0703,261.94,0.529,138.566,0.139
P21,Ptericarpus erinaceous,36.9,27.4,7.1,0.0588,217.205,0.529,114.901,0.115
P21,Gmelina arborea,24.8,21.6,6.4,0.0368,72.148,0.529,38.166,0.038
P21,Gmelina arborea,31.2,22.6,6.3,0.0401,77.294,0.529,40.889,0.041
P21,Gmelina arborea,32.8,25.8,6.4,0.0522,101.515,0.529,53.701,0.054
P21,Gmelina arborea,50.3,28.6,7.4,0.0644,143.677,0.529,76.005,0.076
P21,Anthocleista djalonensis,36,22.6,7.5,0.0401,112.338,0.529,59.427,0.059
P21,Anthocleista djalonensis,31.2,21.6,7.5,0.0368,103.259,0.529,54.624,0.055
P21,Anthocleista djalonensis,37.2,24.8,7.1,0.0484,127.94,0.529,67.68,0.068
P21,Anthocleista djalonensis,26.4,20.4,6.4,0.0326,78.579,0.529,41.568,0.042
P21,Anthocleista djalonensis,30.9,26.4,7.4,0.0548,150.39,0.529,79.557,0.08
P21,Iannea schimperiana,38.2,32.1,7.3,0.0812,248.876,0.529,131.655,0.132
P21,Iannea schimperiana,41.4,35.3,7.4,0.098,303.239,0.529,160.413,0.16
P21,Iannea schimperiana,40.7,32.1,6.4,0.0812,218.883,0.529,115.789,0.116
P21,Gmelina arborea,25.8,20.4,6.3,0.0326,63.118,0.529,33.389,0.033
P21,Gmelina arborea,28.6,26.4,5.4,0.0548,90.197,0.529,47.714,0.048
P21,Gmelina arborea,31.2,22.6,6.3,0.0401,77.294,0.529,40.889,0.041
P21,Gmelina arborea,33.4,28.3,6.1,0.063,116.419,0.529,61.586,0.062
P21,Gmelina arborea,40.7,31.2,7.4,0.0764,169.659,0.529,89.75,0.09
P21,Gmelina arborea,43.9,30.6,7.1,0.0733,156.515,0.529,82.796,0.083
P21,Gmelina arborea,31.2,19.4,6.1,0.0296,55.69,0.529,29.46,0.029
P21,Gmelina arborea,35.3,28.3,6.4,0.063,122.004,0.529,64.54,0.065
P21,Gmelina arborea,39.5,32.1,7.4,0.0812,179.945,0.529,95.191,0.095
P21,Gmelina arborea,39.1,31.2,7.1,0.0764,162.943,0.529,86.197,0.086
P21,Gmelina arborea,41.7,32.1,7.4,0.0812,179.945,0.529,95.191,0.095
P21,Gmelina arborea,40.7,31.2,7.1,0.0764,162.943,0.529,86.197,0.086
P21,Gmelina arborea,32.1,30.6,6.4,0.0733,141.436,0.529,74.82,0.075
