S.NO,SPECIES,DIAMETER,HEIGHT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
20,Gmelina arborea,9,10.7,0.425,0.00636172512351933,0.0680704588216568,21.5120899616206,0.0215120899616206,35.8534832693676,0.0358534832693676,10.1106822819617,0.0101106822819617,59.755805448946,0.059755805448946,0.113450764702761
21,Vitellaria paradoxa,9.8,11,0.57,0.00754296396126909,0.08297260357396,34.7553353904972,0.0347553353904972,57.925558984162,0.057925558984162,16.3350076335337,0.0163350076335337,96.5425983069367,0.0965425983069367,0.138287672623267
22,Gmelina arborea,15.7,24,0.425,0.0193592793295837,0.464622703910009,140.218382628908,0.140218382628908,233.697304381514,0.233697304381514,65.9026398355869,0.0659026398355868,389.495507302523,0.389495507302523,0.774371173183348
23,Gmelina arborea,12.5,26.3,0.425,0.0122718463030851,0.322749557771139,98.2579764391402,0.0982579764391402,163.763294065234,0.163763294065234,46.1812489263959,0.0461812489263959,272.938823442056,0.272938823442056,0.537915929618565
24,Ficus sur,5.5,7.1,0.412,0.00237582944427728,0.0168683890543687,5.34774715460673,0.00534774715460673,8.91291192434456,0.00891291192434456,2.51344116266516,0.00251344116266516,14.8548532072409,0.0148548532072409,0.0281139817572812
25,Anthocleista djalonensis,7.6,8.7,0.532,0.00453645979178366,0.0394672001885178,15.7334418750677,0.0157334418750677,26.2224031251128,0.0262224031251128,7.39471768128181,0.00739471768128181,43.7040052085213,0.0437040052085213,0.0657786669808631
26,Anthocleista djalonensis,11.6,15.3,0.532,0.0105683176866761,0.161695260606144,62.3140027020923,0.0623140027020923,103.856671170154,0.103856671170154,29.2875812699834,0.0292875812699834,173.094451950256,0.173094451950256,0.26949210101024
27,Gmelina arborea,11.7,13.3,0.425,0.0107513154587477,0.142992495601344,44.3915862157373,0.0443915862157373,73.9859770262288,0.0739859770262288,20.8640455213965,0.0208640455213965,123.309961710381,0.123309961710381,0.23832082600224
28,Gmelina arborea,14.4,22.2,0.425,0.0162860163162095,0.361549562219851,109.770779341898,0.109770779341898,182.951298903163,0.182951298903163,51.592266290692,0.051592266290692,304.918831505272,0.304918831505272,0.602582603699751
29,Gmelina arborea,13.9,21.7,0.425,0.0151746779150021,0.329290510755546,100.201044875164,0.100201044875164,167.001741458607,0.167001741458607,47.0944910913271,0.0470944910913271,278.336235764345,0.278336235764345,0.548817517925909
30,Gmelina arborea,9.5,9,0.425,0.00708821842466197,0.0637939658219577,20.1920227413222,0.0201920227413222,33.653371235537,0.033653371235537,9.49025068842143,0.00949025068842143,56.0889520592283,0.0560889520592283,0.10632327636993
31,Gmelina arborea,9,8.8,0.425,0.00636172512351933,0.0559831810869701,17.7753895201387,0.0177753895201387,29.6256492002312,0.0296256492002312,8.35443307446519,0.00835443307446519,49.3760820003853,0.0493760820003853,0.0933053018116169
32,Gmelina arborea,10.2,13.3,0.425,0.00817128249198705,0.108678057143428,33.9616980831309,0.0339616980831309,56.6028301385515,0.0566028301385515,15.9619980990715,0.0159619980990715,94.3380502309193,0.0943380502309192,0.181130095239046
