,S.NO,PLOT.NO,SPECIES,PLOT,DIAMETER,HEIGHT,CROWN.DIAMETER,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
51,51,5,Khaya senegalensis,P3,8.9,9.3,7.3,0.648,0.00622113885227119,0.0578565913261221,27.7051764661919,0.0277051764661919,15.8315294092525,0.0158315294092525,13.0214329391102,0.0130214329391102,9.04658823385856,0.00904658823385856,0.0330609093292126
52,52,6,Khaya senegalensis,P3,10.7,10.8,8.1,0.648,0.00899202357273739,0.0971138545855638,45.9294229822976,0.0459294229822976,26.2453845613129,0.0262453845613129,21.5868288016799,0.0215868288016799,14.9973626064645,0.0149973626064645,0.0554936311917507
53,53,7,Khaya senegalensis,P3,10.6,14.7,9.5,0.648,0.00882473376393373,0.129723586329826,60.9271744293127,0.0609271744293127,34.8155282453216,0.0348155282453216,28.635771981777,0.028635771981777,19.8945875687552,0.0198945875687552,0.0741277636170433
54,54,8,Khaya senegalensis,P3,11.6,14.5,10.35,0.648,0.0105683176866761,0.153240606456803,71.6851890822761,0.0716851890822761,40.9629651898721,0.0409629651898721,33.6920388686698,0.0336920388686698,23.4074086799269,0.0234074086799269,0.0875660608324588
55,55,9,Khaya senegalensis,P3,18.5,21.1,20.9,0.648,0.0268802521422777,0.567173320202059,257.117217866492,0.257117217866492,146.924124495138,0.146924124495138,120.845092397251,0.120845092397251,83.9566425686504,0.0839566425686504,0.324099040115462
56,56,10,Khaya senegalensis,P3,10.8,14.2,8.1,0.648,0.00916088417786784,0.130084555325723,61.0926360683106,0.0610926360683106,34.9100777533203,0.0349100777533203,28.713538952106,0.028713538952106,19.9486158590402,0.0199486158590402,0.074334031614699
57,57,11,Khaya senegalensis,P3,8.9,9.5,5.85,0.648,0.00622113885227119,0.0591008190965763,28.2865382892912,0.0282865382892912,16.1637361653093,0.0161637361653093,13.2946729959669,0.0132946729959669,9.23642066589101,0.00923642066589101,0.033771896626615
58,58,12,Khaya senegalensis,P3,26.9,29,24.25,0.648,0.0568321965016027,1.64813369854648,728.264543812937,0.728264543812937,416.151167893107,0.416151167893107,342.28433559208,0.34228433559208,237.80066736749,0.23780066736749,0.941790684883702
59,59,13,Khaya senegalensis,P3,11.3,11.2,10.1,0.648,0.010028749148422,0.112321990462327,52.9368605629833,0.0529368605629833,30.249634607419,0.030249634607419,24.8803244646022,0.0248803244646022,17.2855054899537,0.0172855054899537,0.0641839945499009
60,60,14,Khaya senegalensis,P3,10.7,14.7,9.65,0.648,0.00899202357273739,0.13218274651924,62.0541916594245,0.0620541916594245,35.4595380910997,0.0354595380910997,29.1654700799295,0.0291654700799295,20.2625931949141,0.0202625931949141,0.075532998010994
