,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
39,39,Tectona grandis,19.2,12.73,7.9,P2,0.615,0.012727605003323,107.419770546405,0.107419770546405,71.6131803642698,0.0716131803642698,50.4872921568102,0.0504872921568102,47.7421202428465,0.0477421202428465
40,40,Tectona grandis,16.5,7.16,4.7,P2,0.615,0.00402639080854682,30.1308737899655,0.0301308737899655,20.0872491933103,0.0200872491933103,14.1615106812838,0.0141615106812838,13.3914994622069,0.0133914994622069
41,41,Tectona grandis,18.2,9.52,6.6,P2,0.615,0.00711809497079761,57.8210767838896,0.0578210767838896,38.547384522593,0.038547384522593,27.1759060884281,0.0271759060884281,25.6982563483954,0.0256982563483954
42,42,Tectona grandis,18.4,9.33,7.8,P2,0.615,0.00683680461857681,56.1860292664158,0.0561860292664158,37.4573528442772,0.0374573528442772,26.4074337552154,0.0264074337552154,24.9715685628515,0.0249715685628515
43,43,Tectona grandis,16.8,7.26,5.8,P2,0.615,0.00413964522370873,31.5070193585265,0.0315070193585265,21.004679572351,0.021004679572351,14.8082990985075,0.0148082990985075,14.0031197149007,0.0140031197149007
44,44,Tectona grandis,17.8,8.78,6.3,P2,0.615,0.00605450877792478,48.3134882163687,0.0483134882163687,32.2089921442458,0.0322089921442458,22.7073394616933,0.0227073394616933,21.4726614294972,0.0214726614294972
45,45,Tectona grandis,18,9.52,7.7,P2,0.615,0.00711809497079761,57.2008477643956,0.0572008477643956,38.133898509597,0.038133898509597,26.8843984492659,0.0268843984492659,25.422599006398,0.025422599006398
46,46,Tectona grandis,13.4,7.29,6.9,P3,0.615,0.00417392785354103,25.4715630295813,0.0254715630295813,16.9810420197209,0.0169810420197209,11.9716346239032,0.0119716346239032,11.3206946798139,0.0113206946798139
47,47,Tectona grandis,17.9,8.85,6,P3,0.615,0.00615143476526966,49.3372569402579,0.0493372569402579,32.8915046268386,0.0328915046268386,23.1885107619212,0.0231885107619212,21.9276697512257,0.0219276697512257
48,48,Tectona grandis,16,7.54,6.9,P3,0.615,0.00446511422262064,32.3449994007763,0.0323449994007763,21.5633329338509,0.0215633329338509,15.2021497183649,0.0152021497183649,14.3755552892339,0.0143755552892339
49,49,Tectona grandis,10.6,7.07,5.2,P3,0.615,0.00392580486576051,19.0863286377661,0.0190863286377661,12.7242190918441,0.0127242190918441,8.97057445975007,0.00897057445975007,8.48281272789604,0.00848281272789604
50,50,Tectona grandis,15.9,7.26,5.3,P3,0.615,0.00413964522370873,29.858573417162,0.029858573417162,19.9057156114413,0.0199057156114413,14.0335295060661,0.0140335295060661,13.2704770742942,0.0132704770742942
51,51,Tectona grandis,20,11.94,7.6,P3,0.615,0.0111969189607328,98.6449595111208,0.0986449595111208,65.7633063407472,0.0657633063407472,46.3631309702268,0.0463631309702268,43.8422042271648,0.0438422042271648
52,52,Tectona grandis,18.2,9.01,6.05,P3,0.615,0.00637587014444212,51.9289622688962,0.0519289622688962,34.6193081792641,0.0346193081792641,24.4066122663812,0.0244066122663812,23.0795387861761,0.0230795387861761
53,53,Tectona grandis,12,6.75,5,P3,0.615,0.00357847038197962,19.6806318732379,0.0196806318732379,13.1204212488253,0.0131204212488253,9.24989698042183,0.00924989698042183,8.74694749921686,0.00874694749921686
54,54,Tectona grandis,15.7,5.89,3.7,P3,0.615,0.00272471116244006,19.6074128517847,0.0196074128517847,13.0716085678564,0.0130716085678564,9.21548404033879,0.00921548404033879,8.71440571190429,0.00871440571190429
55,55,Tectona grandis,11.9,6.94,4.9,P3,0.615,0.00378276029826093,20.6074710244553,0.0206074710244552,13.7383140163035,0.0137383140163035,9.68551138149397,0.00968551138149397,9.158876010869,0.009158876010869
56,56,Tectona grandis,18.4,9.2,7.8,P3,0.615,0.006647610054996,54.6680032362428,0.0546680032362428,36.4453354908285,0.0364453354908285,25.6939615210341,0.0256939615210341,24.296890327219,0.024296890327219
57,57,Tectona grandis,20.8,11.49,7.8,P3,0.615,0.0103688344071547,95.089308274885,0.095089308274885,63.3928721832567,0.0633928721832567,44.691974889196,0.044691974889196,42.2619147888378,0.0422619147888378
58,58,Tectona grandis,17,8.02,6.8,P3,0.615,0.00505171240289892,38.7100463543676,0.0387100463543676,25.8066975695784,0.0258066975695784,18.1937217865528,0.0181937217865527,17.2044650463856,0.0172044650463856
