S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
18,Khaya senegalensis,9.293443666,44.7,16.05,P1,0.648,FOR,1,0.00678333433251009,139.538250562314,0.139538250562314,55.8153002249257,0.0558153002249257,65.5829777642877,0.0655829777642877,22.3261200899703,0.0223261200899703
19,Azdirachta indica,8.274984087,13,12.5,P1,0.57,FOR,1,0.00537804232701131,29.4062161890728,0.0294062161890728,11.7624864756291,0.0117624864756291,13.8209216088642,0.0138209216088642,4.70499459025165,0.00470499459025164
20,Vitex donina,9.548058561,18,19,P1,0.4,FOR,1,0.00716011552274306,37.8064418050349,0.0378064418050349,15.122576722014,0.015122576722014,17.7690276483664,0.0177690276483664,6.04903068880559,0.00604903068880559
21,Combretum nigricans,11.13940165,37,15,P1,0.796,FOR,1,0.00974571278697073,201.99725069822,0.20199725069822,80.7989002792879,0.0807989002792879,94.9387078281633,0.0949387078281633,32.3195601117152,0.0323195601117152
22,Albizia zygia,6.683640993,32,10.3,P1,0.804,FOR,1,0.00350845660645906,65.3125958628762,0.0653125958628762,26.1250383451505,0.0261250383451505,30.6969200555518,0.0306969200555518,10.4500153380602,0.0104500153380602
23,Eucalyptus calmadalutases,11.45767027,30,15.9,P1,0.73,FOR,1,0.0103105663469907,159.824935116451,0.159824935116451,63.9299740465805,0.0639299740465805,75.1177195047321,0.075117719504732,25.5719896186322,0.0255719896186322
24,Ficus sycomorus,13.04901337,36,16.1,P1,0.413,FOR,1,0.0133735046664653,141.169598372986,0.141169598372986,56.4678393491945,0.0564678393491945,66.3497112353036,0.0663497112353036,22.5871357396778,0.0225871357396778
25,Stereospermum kunthianum,12.09420751,32.3,16.85,P1,0.6,FOR,1,0.0114880075709057,157.63892412587,0.15763892412587,63.0555696503478,0.0630555696503479,74.0902943391587,0.0740902943391587,25.2222278601391,0.0252222278601391
26,Senna siamea,10.82113304,19.4,18.55,P1,0.57,FOR,1,0.00919677061190682,73.3742699849344,0.0733742699849344,29.3497079939738,0.0293497079939738,34.4859068929192,0.0344859068929192,11.7398831975895,0.0117398831975895
27,Khaya senegalensis,9.86632718,18.5,13.7,P1,0.648,FOR,1,0.00764541224197169,66.2923536453757,0.0662923536453757,26.5169414581503,0.0265169414581503,31.1574062133266,0.0311574062133266,10.6067765832601,0.0106067765832601
28,Khaya senegalensis,8.274984087,16.1,13.1,P1,0.648,FOR,1,0.00537804232701131,41.0634879265378,0.0410634879265378,16.4253951706151,0.0164253951706151,19.2998393254727,0.0192998393254727,6.57015806824604,0.00657015806824604
29,Khaya senegalensis,10.82113304,14.5,14.9,P1,0.648,FOR,1,0.00919677061190682,62.5904136519136,0.0625904136519136,25.0361654607654,0.0250361654607654,29.4174944163994,0.0294174944163994,10.0144661843062,0.0100144661843062
30,Daniella oliveri,7.32017823,13.7,14,P1,0.533,FOR,1,0.0042085567904751,22.8184617877092,0.0228184617877092,9.12738471508369,0.00912738471508369,10.7246770402233,0.0107246770402233,3.65095388603348,0.00365095388603348
31,Daniella oliveri,10.50286442,19.6,12.25,P1,0.533,FOR,1,0.00866373978730348,65.4840440512442,0.0654840440512442,26.1936176204977,0.0261936176204977,30.7775007040848,0.0307775007040848,10.4774470481991,0.0104774470481991
32,Khaya senegalensis,8.274984087,16,13.4,P1,0.648,FOR,1,0.00537804232701131,40.814537878421,0.040814537878421,16.3258151513684,0.0163258151513684,19.1828328028579,0.0191828328028579,6.53032606054736,0.00653032606054736
33,Khaya senegalensis,9.86632718,20,12.85,P1,0.648,FOR,1,0.00764541224197169,71.5334394784672,0.0715334394784672,28.6133757913869,0.0286133757913869,33.6207165548796,0.0336207165548796,11.4453503165548,0.0114453503165548
34,Azdirachta indica,10.82113304,19.5,11.15,P1,0.57,FOR,1,0.00919677061190682,73.7433878488054,0.0737433878488054,29.4973551395221,0.0294973551395222,34.6593922889385,0.0346593922889385,11.7989420558089,0.0117989420558089
35,Vitex donina,9.548058561,16,15.35,P1,0.4,FOR,1,0.00716011552274306,33.700856869442,0.033700856869442,13.4803427477768,0.0134803427477768,15.8394027286378,0.0158394027286378,5.39213709911073,0.00539213709911073
36,Khaya senegalensis,9.229789943,14,10.55,P1,0.648,FOR,1,0.00669073017282254,44.339180293015,0.044339180293015,17.735672117206,0.017735672117206,20.839414737717,0.020839414737717,7.0942688468824,0.0070942688468824
37,Khaya senegalensis,14.00381922,18,15.2,P1,0.648,FOR,1,0.0154022040516525,127.859026805767,0.127859026805767,51.1436107223068,0.0511436107223068,60.0937425987105,0.0600937425987105,20.4574442889227,0.0204574442889227
38,Khaya senegalensis,9.86632718,17,13.65,P1,0.648,FOR,1,0.00764541224197169,61.0410476517507,0.0610410476517507,24.4164190607003,0.0244164190607003,28.6892923963228,0.0286892923963228,9.76656762428011,0.00976656762428011
39,Combretum nigricans,8.911521324,16,18.3,P1,0.796,FOR,1,0.00623725618926055,57.6545164239871,0.0576545164239871,23.0618065695949,0.0230618065695949,27.097622719274,0.027097622719274,9.22472262783795,0.00922472262783794
40,Khaya senegalensis,10.1845958,19,17.65,P1,0.648,FOR,1,0.00814662033065843,72.3905835463226,0.0723905835463226,28.956233418529,0.028956233418529,34.0235742667716,0.0340235742667716,11.5824933674116,0.0115824933674116
41,Daniella oliveri,8.593252705,20,11.6,P1,0.533,FOR,1,0.00579969357355686,45.1420938037391,0.0451420938037391,18.0568375214956,0.0180568375214956,21.2167840877574,0.0212167840877574,7.22273500859826,0.00722273500859826
42,Albizia zygia,9.86632718,16,12.75,P1,0.804,FOR,1,0.00764541224197169,71.0162331184348,0.0710162331184348,28.4064932473739,0.0284064932473739,33.3776295656644,0.0333776295656644,11.3625972989496,0.0113625972989496
43,Daniella oliveri,8.274984087,15,13,P1,0.533,FOR,1,0.00537804232701131,31.669951597439,0.031669951597439,12.6679806389756,0.0126679806389756,14.8848772507963,0.0148848772507963,5.06719225559025,0.00506719225559025
44,Azdirachta indica,9.548058561,19,15.34,P1,0.57,FOR,1,0.00716011552274306,56.3127403992059,0.0563127403992059,22.5250961596823,0.0225250961596823,26.4669879876268,0.0264669879876268,9.01003846387294,0.00901003846387294
45,Khaya senegalensis,9.229789943,14,12.5,P1,0.648,FOR,1,0.00669073017282254,44.339180293015,0.044339180293015,17.735672117206,0.017735672117206,20.839414737717,0.020839414737717,7.0942688468824,0.0070942688468824
46,Khaya senegalensis,9.86632718,19,12.4,P1,0.648,FOR,1,0.00764541224197169,68.0404764540155,0.0680404764540155,27.2161905816062,0.0272161905816062,31.9790239333873,0.0319790239333873,10.8864762326425,0.0108864762326425
47,Vitex donina,10.1845958,18,15.8,P1,0.4,FOR,1,0.00814662033065843,42.8822805491103,0.0428822805491103,17.1529122196441,0.0171529122196441,20.1546718580818,0.0201546718580818,6.86116488785765,0.00686116488785765
