S.NO,SPECIES,HEIGHT,DIAMETER,PLOT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
16,Daniella oliveri,11.6,11.8,P2,0.533,0.0109358840271461,0.126856254714894,49.2635263474365,0.0492635263474365,24.6317631737182,0.0246317631737182,23.1538573832951,0.0231538573832951,12.3158815868591,0.0123158815868591,0.0634281273574472
17,Daniella oliveri,11,12.4,P2,0.533,0.0120762821603992,0.132839103764391,51.5298894072353,0.0515298894072353,25.7649447036176,0.0257649447036176,24.2190480214006,0.0242190480214006,12.8824723518088,0.0128824723518088,0.0664195518821954
18,Acacia nilotica,11.6,12.3,P2,0.6,0.01188228881404,0.137834550242864,59.9648096779557,0.0599648096779557,29.9824048389779,0.0299824048389779,28.1834605486392,0.0281834605486392,14.9912024194889,0.0149912024194889,0.068917275121432
19,Daniella oliveri,11,10.5,P2,0.533,0.00865901475145687,0.0952491622660255,37.244452352575,0.037244452352575,18.6222261762875,0.0186222261762875,17.5048926057103,0.0175048926057103,9.31111308814376,0.00931111308814376,0.0476245811330128
20,Daniella oliveri,11.1,13.9,P2,0.533,0.0151746779150021,0.168438924856523,64.9682154376961,0.0649682154376961,32.484107718848,0.032484107718848,30.5350612557172,0.0305350612557172,16.242053859424,0.016242053859424,0.0842194624282617
21,Ficus spp,9,21.5,P3,0.412,0.036305030103047,0.326745270927423,96.4751161351704,0.0964751161351704,48.2375580675852,0.0482375580675852,45.3433045835301,0.0453433045835301,24.1187790337926,0.0241187790337926,0.163372635463712
22,Lannea schrimperiana,9.4,15,P3,0.421,0.0176714586764426,0.16611171155856,50.9116664351107,0.0509116664351107,25.4558332175553,0.0254558332175553,23.928483224502,0.023928483224502,12.7279166087777,0.0127279166087777,0.0830558557792802
23,Daniella oliveri,15,14,P3,0.533,0.01539380400259,0.23090706003885,88.3909526707621,0.0883909526707621,44.1954763353811,0.0441954763353811,41.5437477552582,0.0415437477552582,22.0977381676905,0.0220977381676905,0.115453530019425
24,Daniella oliveri,12,9.7,P3,0.533,0.00738981131940659,0.0886777358328791,34.734427222152,0.034734427222152,17.367213611076,0.017367213611076,16.3251807944114,0.0163251807944114,8.68360680553801,0.00868360680553801,0.0443388679164395
25,Daniella oliveri,12.7,9.8,P3,0.533,0.00754296396126909,0.0957956423081175,37.4529949163508,0.0374529949163508,18.7264974581754,0.0187264974581754,17.6029076106849,0.0176029076106849,9.36324872908769,0.00936324872908769,0.0478978211540587
26,Daniella oliveri,11.4,13.4,P3,0.533,0.0141026094219646,0.160769747410396,62.079544479957,0.062079544479957,31.0397722399785,0.0310397722399785,29.1773859055798,0.0291773859055798,15.5198861199893,0.0155198861199893,0.0803848737051981
27,Daniella oliveri,23.5,19.7,P3,0.533,0.0304805173232916,0.716292157097352,266.846264286946,0.266846264286946,133.423132143473,0.133423132143473,125.417744214865,0.125417744214865,66.7115660717366,0.0667115660717366,0.358146078548676
28,Daniella oliveri,16,11.1,P3,0.533,0.00967689077121996,0.154830252339519,59.8401092706294,0.0598401092706294,29.9200546353147,0.0299200546353147,28.1248513571958,0.0281248513571958,14.9600273176574,0.0149600273176574,0.0774151261697597
29,Daniella oliveri,14.5,12.6,P3,0.533,0.0124689812420979,0.180800228010419,69.6176396205418,0.0696176396205418,34.8088198102709,0.0348088198102709,32.7202906216546,0.0327202906216546,17.4044099051354,0.0174044099051354,0.0904001140052097
30,Daniella oliveri,12.2,15.6,P3,0.533,0.0191134497044403,0.233184086394172,89.2415759323189,0.0892415759323189,44.6207879661595,0.0446207879661595,41.9435406881899,0.0419435406881899,22.3103939830797,0.0223103939830797,0.116592043197086
31,Vitex doniana   ,10,16.4,P4,0.4,0.0211240690027378,0.211240690027378,61.2351529797194,0.0612351529797194,30.6175764898597,0.0306175764898597,28.7805219004681,0.0287805219004681,15.3087882449299,0.0153087882449299,0.105620345013689
32,Acacia nilotica,9.8,9.5,P4,0.6,0.00708821842466197,0.0694645405616873,30.7215987071304,0.0307215987071304,15.3607993535652,0.0153607993535652,14.4391513923513,0.0144391513923513,7.68039967678259,0.00768039967678259,0.0347322702808437
33,Vitex doniana   ,9,11,P4,0.4,0.00950331777710912,0.0855298599939821,25.3375621165744,0.0253375621165744,12.6687810582872,0.0126687810582872,11.90865419479,0.01190865419479,6.33439052914361,0.00633439052914361,0.0427649299969911
34,Vitex doniana   ,9.4,11.6,P4,0.4,0.0105683176866761,0.099342186254755,29.3238099296796,0.0293238099296796,14.6619049648398,0.0146619049648398,13.7821906669494,0.0137821906669494,7.33095248241991,0.00733095248241991,0.0496710931273775
35,Daniella oliveri,18.5,13.4,P4,0.533,0.0141026094219646,0.260898274306345,99.5792826927779,0.0995792826927779,49.789641346389,0.049789641346389,46.8022628656056,0.0468022628656056,24.8948206731945,0.0248948206731945,0.130449137153172
36,Daniella oliveri,9.2,11.2,P4,0.533,0.00985203456165759,0.0906387179672498,35.4838978200952,0.0354838978200952,17.7419489100476,0.0177419489100476,16.6774319754447,0.0166774319754447,8.87097445502379,0.00887097445502379,0.0453193589836249
37,Parkia biglobosa,12.6,17.9,P4,0.525,0.0251649425534176,0.317078276173062,118.691963089753,0.118691963089753,59.3459815448764,0.0593459815448764,55.7852226521838,0.0557852226521838,29.6729907724382,0.0296729907724382,0.158539138086531
38,Parkia biglobosa,7.3,11.9,P4,0.525,0.0111220233918713,0.0811907707606602,31.4022903236985,0.0314022903236985,15.7011451618493,0.0157011451618493,14.7590764521383,0.0147590764521383,7.85057258092463,0.00785057258092463,0.0405953853803301
39,Lannea schrimperiana,10,10.9,P4,0.421,0.00933131557932508,0.0933131557932508,28.9981915125321,0.0289981915125321,14.4990957562661,0.0144990957562661,13.6291500108901,0.0136291500108901,7.24954787813303,0.00724954787813303,0.0466565778966254
40,Elaeis guineensis,7.2,13.7,P4,0.313,0.0147411381288067,0.106136194527408,24.620756970339,0.024620756970339,12.3103784851695,0.0123103784851695,11.5717557760593,0.0115717557760593,6.15518924258475,0.00615518924258475,0.0530680972637041
