S.N,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
16,16,Khaya senegalensis,15.5,54.1,12.02,P1,0.648,0.229871119861329,1545.52868101309,1.54552868101309,1030.35245400873,1.03035245400873,726.398480076153,0.726398480076153,484.265653384102,0.484265653384102
17,17,Daniellia oliveri,19.9,57,13.17,P1,0.533,0.255175863287831,1804.8833603058,1.8048833603058,1203.2555735372,1.2032555735372,848.295179343726,0.848295179343726,565.530119562484,0.565530119562484
18,18,Khaya senegalensis,12,34.8,5.57,P1,0.648,0.0951148591800846,508.810248446621,0.508810248446621,339.206832297747,0.339206832297747,239.140816769912,0.239140816769912,159.427211179941,0.159427211179941
19,19,Khaya senegalensis,14,43.9,8.69,P1,0.648,0.15136271944812,930.730564999788,0.930730564999788,620.487043333192,0.620487043333192,437.4433655499,0.4374433655499,291.6289103666,0.2916289103666
20,20,Khaya senegalensis,10.4,39.5,5.71,P1,0.648,0.122541748444087,566.623183472964,0.566623183472964,377.748788981976,0.377748788981976,266.312896232293,0.266312896232293,177.541930821529,0.177541930821529
21,21,Khaya senegalensis,17.2,42.3,8.87,P1,0.648,0.140530507978542,1058.28936361334,1.05828936361334,705.526242408895,0.705526242408895,497.396000898271,0.497396000898271,331.597333932181,0.331597333932181
22,22,Khaya senegalensis,10.2,37.8,6.27,P1,0.648,0.112220831178881,510.234747151328,0.510234747151328,340.156498100886,0.340156498100886,239.810331161124,0.239810331161124,159.873554107416,0.159873554107416
23,23,Khaya senegalensis,10.2,23.4,6.74,P1,0.648,0.0430052618349907,200.085396052202,0.200085396052202,133.390264034801,0.133390264034801,94.040136144535,0.094040136144535,62.6934240963567,0.0626934240963567
24,24,Khaya senegalensis,10.3,49.8,9.7,P1,0.648,0.194781886115221,882.334129234084,0.882334129234083,588.222752822722,0.588222752822722,414.697040740019,0.414697040740019,276.464693826679,0.276464693826679
25,25,Albizia zygia,12.8,45,10.03,P1,0.804,0.159043128087983,1104.72129338327,1.10472129338327,736.480862255511,0.736480862255511,519.219007890135,0.519219007890135,346.14600526009,0.34614600526009
26,26,Daniellia oliveri,12.5,33.9,4.68,P1,0.533,0.0902587423357981,415.752437225909,0.415752437225909,277.168291483939,0.277168291483939,195.403645496177,0.195403645496177,130.269096997452,0.130269096997452
27,27,Eucalyptus camaldulensis,18,51,11.18,P1,0.73,0.204282062299676,1790.36312517937,1.79036312517937,1193.57541678625,1.19357541678625,841.470668834305,0.841470668834305,560.980445889537,0.560980445889537
28,28,Khaya senegalensis,10.6,42.6,9.26,P1,0.648,0.142530917100715,668.988006528519,0.668988006528519,445.992004352346,0.445992004352346,314.424363068404,0.314424363068404,209.616242045603,0.209616242045603
29,29,Khaya senegalensis,20.9,59,16.03,P1,0.648,0.273397100678652,2450.63240490456,2.45063240490456,1633.75493660304,1.63375493660304,1151.79723030514,1.15179723030514,767.86482020343,0.76786482020343
