,S.N,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
20,20,Khaya senegalensis,10.4,39.5,5.71,P1,0.648,0.122541748444087,566.623183472964,0.566623183472964,2360.92993113735,2.36092993113735,266.312896232293,0.266312896232293,1109.63706763456,1.10963706763456
21,21,Khaya senegalensis,17.2,42.3,8.87,P1,0.648,0.140530507978542,1058.28936361334,1.05828936361334,4409.53901505559,4.40953901505559,497.396000898271,0.497396000898271,2072.48333707613,2.07248333707613
22,22,Khaya senegalensis,10.2,37.8,6.27,P1,0.648,0.112220831178881,510.234747151328,0.510234747151328,2125.97811313054,2.12597811313054,239.810331161124,0.239810331161124,999.209713171352,0.999209713171352
23,23,Khaya senegalensis,10.2,23.4,6.74,P1,0.648,0.0430052618349907,200.085396052202,0.200085396052202,833.689150217509,0.833689150217509,94.040136144535,0.094040136144535,391.833900602229,0.391833900602229
24,24,Khaya senegalensis,10.3,49.8,9.7,P1,0.648,0.194781886115221,882.334129234084,0.882334129234083,3676.39220514201,3.67639220514201,414.697040740019,0.414697040740019,1727.90433641675,1.72790433641675
25,25,Albizia zygia,12.8,45,10.03,P1,0.804,0.159043128087983,1104.72129338327,1.10472129338327,4603.00538909694,4.60300538909694,519.219007890135,0.519219007890135,2163.41253287556,2.16341253287556
26,26,Daniellia oliveri,12.5,33.9,4.68,P1,0.533,0.0902587423357981,415.752437225909,0.415752437225909,1732.30182177462,1.73230182177462,195.403645496177,0.195403645496177,814.181856234072,0.814181856234072
27,27,Eucalyptus camaldulensis,18,51,11.18,P1,0.73,0.204282062299676,1790.36312517937,1.79036312517937,7459.84635491405,7.45984635491405,841.470668834305,0.841470668834305,3506.1277868096,3.5061277868096
28,28,Khaya senegalensis,10.6,42.6,9.26,P1,0.648,0.142530917100715,668.988006528519,0.668988006528519,2787.45002720216,2.78745002720216,314.424363068404,0.314424363068404,1310.10151278502,1.31010151278502
29,29,Khaya senegalensis,20.9,59,16.03,P1,0.648,0.273397100678652,2450.63240490456,2.45063240490456,10210.968353769,10.210968353769,1151.79723030514,1.15179723030514,4799.15512627144,4.79915512627144
30,30,Khaya senegalensis,10.3,43.8,6,P1,0.648,0.15067392525882,686.750311322249,0.686750311322249,2861.45963050937,2.86145963050937,322.772646321457,0.322772646321457,1344.8860263394,1.3448860263394
31,31,Khaya senegalensis,15.2,57,11.82,P1,0.648,0.255175863287831,1679.03337942446,1.67903337942446,6995.9724142686,6.9959724142686,789.145688329498,0.789145688329498,3288.10703470624,3.28810703470624
32,32,Khaya senegalensis,12.4,42.3,9.97,P1,0.648,0.140530507978542,768.967937027682,0.768967937027682,3204.03307094867,3.20403307094867,361.41493040301,0.36141493040301,1505.89554334588,1.50589554334588
33,33,Khaya senegalensis,17.5,56,11.89,P1,0.648,0.24630086404144,1861.14596112816,1.86114596112816,7754.77483803401,7.75477483803401,874.738601730236,0.874738601730237,3644.74417387599,3.64474417387599
34,34,Khaya senegalensis,11.9,34,7.72,P1,0.648,0.090792027688745,482.273001848753,0.482273001848753,2009.47084103647,2.00947084103647,226.668310868914,0.226668310868914,944.451295287142,0.944451295287142
35,35,Khaya senegalensis,10,43.2,11.72,P1,0.648,0.146574146845885,649.496094179492,0.649496094179492,2706.23372574788,2.70623372574788,305.263164264361,0.305263164264361,1271.92985110151,1.27192985110151
36,36,Daniellia oliveri,10.3,41.7,8.71,P1,0.533,0.136572101235019,515.626858035202,0.515626858035202,2148.44524181334,2.14844524181334,242.344623276545,0.242344623276545,1009.76926365227,1.00976926365227
37,37,Daniellia oliveri,21.8,57.6,12.79,P1,0.533,0.260576261059352,2013.62709160105,2.01362709160105,8390.11288167106,8.39011288167106,946.404733052495,0.946404733052495,3943.3530543854,3.9433530543854
38,38,Khaya senegalensis,12,40,6.86,P1,0.648,0.125663706143592,667.750572699519,0.667750572699519,2782.29405291466,2.78229405291466,313.842769168774,0.313842769168774,1307.67820486989,1.30767820486989
39,39,Khaya senegalensis,24.1,62,18.74,P1,0.648,0.301907054009979,3102.48350676834,3.10248350676834,12927.0146115348,12.9270146115348,1458.16724818112,1.45816724818112,6075.69686742134,6.07569686742134
40,40,Khaya senegalensis,11.5,39.3,7.5,P1,0.648,0.121303960938572,618.881670706993,0.618881670706993,2578.6736279458,2.5786736279458,290.874385232287,0.290874385232287,1211.97660513453,1.21197660513453
41,41,Khaya senegalensis,8.7,27.1,5.51,P1,0.648,0.057680426518072,228.159794125245,0.228159794125245,950.665808855187,0.950665808855187,107.235103238865,0.107235103238865,446.812930161938,0.446812930161938
42,42,Khaya senegalensis,11.3,40.8,10.95,P1,0.648,0.130740519871793,654.523839212669,0.654523839212669,2727.18266338612,2.72718266338612,307.626204429954,0.307626204429954,1281.77585179148,1.28177585179148
43,43,Khaya senegalensis,15.4,55.2,9.62,P1,0.648,0.239313961979856,1597.34075759084,1.59734075759084,6655.58648996182,6.65558648996182,750.750156067693,0.750750156067693,3128.12565028205,3.12812565028205
44,44,Khaya senegalensis,23.6,61,18.01,P1,0.648,0.292246656600191,2944.68078738588,2.94468078738588,12269.5032807745,12.2695032807745,1383.99997007136,1.38399997007136,5766.66654196401,5.76666654196401
45,45,Khaya senegalensis,25.2,70,21.11,P1,0.648,0.38484510006475,4106.86636940705,4.10686636940705,17111.9432058627,17.1119432058627,1930.22719362131,1.93022719362131,8042.61330675548,8.04261330675548
46,46,Khaya senegalensis,23.7,62,16.21,P1,0.648,0.301907054009979,3052.2157816202,3.0522157816202,12717.5657567508,12.7175657567508,1434.54141736149,1.43454141736149,5977.25590567288,5.97725590567288
47,47,Khaya senegalensis,24.2,61.3,20.27,P1,0.648,0.295128282461696,3046.7646875276,3.0467646875276,12694.8528646983,12.6948528646983,1431.97940313797,1.43197940313797,5966.58084640821,5.96658084640822
48,48,Khaya senegalensis,10,42.7,10.67,P1,0.648,0.143200861734093,634.903150321606,0.634903150321606,2645.42979300669,2.64542979300669,298.404480651155,0.298404480651155,1243.35200271315,1.24335200271315
49,49,Daniellia oliveri,12.5,36.4,8.17,P1,0.533,0.104062115057508,477.699617801615,0.477699617801615,1990.41507417339,1.99041507417339,224.518820366759,0.224518820366759,935.495084861495,0.935495084861495
50,50,Khaya senegalensis,14.2,42.3,7.3,P2,0.648,0.140530507978542,877.732321769761,0.877732321769761,3657.218007374,3.657218007374,412.534191231788,0.412534191231788,1718.89246346578,1.71889246346578
51,51,Albizia zygia,8.8,34.5,8.41,P2,0.804,0.0934820163983813,456.229043957612,0.456229043957612,1900.95434982338,1.90095434982338,214.427650660078,0.214427650660078,893.44854441699,0.89344854441699
52,52,Khaya senegalensis,18,45,5.91,P2,0.648,0.159043128087983,1248.32900596451,1.24832900596451,5201.37085818546,5.20137085818546,586.71463280332,0.58671463280332,2444.64430334716,2.44464430334716
53,53,Daniellia oliveri,12.5,36.5,8.61,P2,0.533,0.104634670318625,480.264697427388,0.480264697427388,2001.10290594745,2.00110290594745,225.724407790872,0.225724407790872,940.518365795302,0.940518365795302
54,54,Daniellia oliveri,13,38.6,5.94,P2,0.533,0.117021184753566,556.580454126091,0.556580454126091,2319.08522552538,2.31908522552538,261.592813439263,0.261592813439263,1089.97005599693,1.08997005599693
55,55,Daniellia oliveri,10.8,29.4,5.58,P2,0.533,0.0678866756514218,272.983498034968,0.272983498034968,1137.43124181237,1.13743124181237,128.302244076435,0.128302244076435,534.592683651813,0.534592683651813
56,56,Khaya senegalensis,9.7,30.2,10.68,P2,0.648,0.0716314540945009,313.454879812007,0.313454879812007,1306.06199921669,1.30606199921669,147.323793511643,0.147323793511643,613.849139631847,0.613849139631847
57,57,Khaya senegalensis,22,54.4,12.01,P2,0.648,0.232427590883187,2198.90192081302,2.19890192081302,9162.09133672093,9.16209133672093,1033.48390278212,1.03348390278212,4306.18292825883,4.30618292825883
58,58,Khaya senegalensis,11.4,31.2,10.9,P2,0.648,0.0764537988177612,391.057997806959,0.391057997806959,1629.40832419566,1.62940832419566,183.797258969271,0.18379725896927,765.82191237196,0.765821912371961
59,59,Khaya senegalensis,17.5,50.5,12.03,P2,0.648,0.200296166620434,1521.04539487798,1.52104539487798,6337.6891453249,6.3376891453249,714.891335592649,0.714891335592649,2978.7138983027,2.9787138983027
60,60,Albizia zygia,10.4,39,11.65,P2,0.804,0.119459060652752,682.224984095694,0.682224984095694,2842.60410039872,2.84260410039872,320.645742524976,0.320645742524976,1336.0239271874,1.3360239271874
61,61,Albizia zygia,16.2,46.2,8.81,P2,0.804,0.167638525588205,1463.56750441203,1.46356750441203,6098.19793505014,6.09819793505014,687.876727073655,0.687876727073655,2866.15302947356,2.86615302947356
62,62,Daniellia oliveri,18,43,8.7,P2,0.533,0.145220120412188,944.011338228205,0.944011338228205,3933.38057595085,3.93338057595085,443.685328967256,0.443685328967256,1848.6888706969,1.8486888706969
63,63,Albizia zygia,25.2,67,18.09,P2,0.804,0.352565235549115,4653.82352337999,4.65382352337999,19390.9313474166,19.3909313474166,2187.29705598859,2.18729705598859,9113.73773328581,9.11373773328581
64,64,Albizia zygia,9,33.9,10.24,P2,0.804,0.0902587423357981,450.645945367259,0.450645945367259,1877.69143903025,1.87769143903025,211.803594322612,0.211803594322612,882.514976344216,0.882514976344216
65,65,Albizia zygia,15.5,38.4,10.29,P2,0.804,0.115811671581934,977.064547183524,0.977064547183524,4071.10227993135,4.07110227993135,459.220337176256,0.459220337176256,1913.41807156773,1.91341807156773
66,66,Albizia zygia,24.1,60,17.82,P2,0.804,0.282743338823081,3592.07041991343,3.59207041991343,14966.9600829726,14.9669600829726,1688.27309735931,1.68827309735931,7034.47123899714,7.03447123899714
67,67,Albizia zygia,27.8,71,21.43,P2,0.804,0.395919214168654,5735.7337755071,5.7357337755071,23898.8907312796,23.8988907312796,2695.79487448834,2.69579487448834,11232.4786437014,11.2324786437014
68,68,Albizia zygia,18.4,55.7,10.85,P2,0.804,0.243668994795895,2387.35225466805,2.38735225466805,9947.30106111688,9.94730106111688,1122.05555969398,1.12205555969398,4675.23149872493,4.67523149872493
69,69,Albizia zygia,17.1,53.5,11.81,P2,0.804,0.224800589318435,2054.45084170007,2.05445084170007,8560.21184041697,8.56021184041697,965.591895599034,0.965591895599034,4023.29956499598,4.02329956499598
70,70,Albizia zygia,15.2,38.7,10,P2,0.804,0.117628297533872,973.27622210596,0.97327622210596,4055.31759210817,4.05531759210817,457.439824389801,0.457439824389801,1905.99926829084,1.90599926829084
71,71,Khaya senegalensis,15.4,51.4,10.36,P2,0.648,0.207499053176952,1389.73662097706,1.38973662097706,5790.56925407108,5.79056925407108,653.176211859218,0.653176211859218,2721.56754941341,2.72156754941341
72,72,Albizia zygia,10.7,31.2,7.97,P2,0.804,0.0764537988177612,453.746514883941,0.453746514883941,1890.61047868309,1.89061047868309,213.260861995452,0.213260861995452,888.586924981051,0.888586924981051
